scenario,commit,timestamp,mode,strategy,batcher,workers,writers,batch,delay_ms,capacity,prefetch,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"confirmed-table-valued-parameter","2f0f925288231cbd8d721a085d637ebdc35d096b","2026-09-04T20:18:24.6754044+00:00",Queue,TableValuedParameter,Channel,1,2,5000,5,10000,20000,Uniform,750000,42.591213,17609.266,17609.266,187.105,2115.456,2269.222,196.838,2150.878,2285.307,0,True
"confirmed-table-valued-parameter","2f0f925288231cbd8d721a085d637ebdc35d096b","2026-09-04T20:19:14.6018927+00:00",Queue,TableValuedParameter,Channel,1,2,5000,5,10000,20000,Uniform,750000,26.987952,27790.179,27790.179,118.037,208.038,256.826,128.948,219.048,290.848,0,True
"confirmed-table-valued-parameter","2f0f925288231cbd8d721a085d637ebdc35d096b","2026-09-04T20:20:14.7683592+00:00",Queue,TableValuedParameter,Channel,1,2,5000,5,10000,20000,Uniform,750000,32.882859,22808.236,22808.236,152.273,1698.292,2195.974,163.597,1730.164,2226.768,0,True
