scenario,commit,timestamp,mode,strategy,batcher,workers,writers,batch,delay_ms,capacity,prefetch,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"refine-tablevaluedparameter-batch-5000","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:48.3891791+00:00",Queue,TableValuedParameter,Channel,1,2,5000,5,10000,20000,Uniform,10000,0.502226,19911.367,19911.367,336.316,377.825,380.577,367.911,384.928,387.380,0,True
"refine-bulk-capacity-8000","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:50.4774666+00:00",Queue,BulkCopy,Channel,1,2,500,5,8000,1000,Uniform,10000,0.779278,12832.383,12832.383,109.046,241.648,262.540,110.874,247.336,265.283,0,True
"refine-tablevaluedparameter-lockswap","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:55.3023697+00:00",Queue,TableValuedParameter,LockSwap,1,2,500,5,4000,1000,Uniform,10000,3.533451,2830.095,2830.095,536.984,1068.142,1099.925,537.087,1068.178,1099.959,0,True
"refine-bulkcopy-batch-1000","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:04.1554721+00:00",Queue,BulkCopy,Channel,1,2,1000,5,8000,4000,Uniform,10000,3.105743,3219.841,3219.841,1522.755,2221.080,2224.275,1542.046,2222.758,2224.639,0,True
"refine-multipleinsertstatements-batch-161","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:09.4065077+00:00",Queue,MultipleInsertStatements,Channel,1,2,161,5,2000,644,Uniform,10000,4.446121,2249.152,2249.152,492.367,834.511,997.048,495.532,834.664,997.307,0,True
"refine-tablevaluedparameter-channel","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:11.5643742+00:00",Queue,TableValuedParameter,Channel,1,2,500,5,4000,1000,Uniform,10000,1.398619,7149.910,7149.910,87.278,865.298,870.748,87.814,870.203,876.240,0,True
"refine-tablevaluedparameter-batch-500","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:13.1344096+00:00",Queue,TableValuedParameter,Channel,1,2,500,5,8000,2000,Uniform,10000,0.931359,10736.996,10736.996,269.713,384.951,412.972,274.914,389.658,414.068,0,True
"refine-bulk-delay-50","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:14.6259547+00:00",Queue,BulkCopy,Channel,1,2,500,50,4000,1000,Uniform,10000,0.891134,11221.657,11221.657,123.973,255.882,285.868,125.647,260.215,293.394,0,True
"refine-multirowvalues-batch-100","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:21.7097371+00:00",Queue,MultiRowValues,Channel,1,2,100,5,2000,400,Uniform,10000,6.284495,1591.218,1591.218,404.242,851.014,910.198,404.316,851.038,910.333,0,True
"refine-multipleinsertstatements-batch-50","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:38.8945284+00:00",Queue,MultipleInsertStatements,Channel,1,2,50,5,2000,200,Uniform,10000,7.844419,1274.792,1274.792,407.042,519.518,563.285,407.053,519.628,563.323,0,True
"refine-bulk-writers-8","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:40.3006847+00:00",Queue,BulkCopy,Channel,1,8,500,5,4000,1000,Uniform,10000,0.895307,11169.354,11169.354,282.469,760.198,831.254,291.200,760.237,831.666,0,True
"refine-bulkcopy-batch-500","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:41.7231614+00:00",Queue,BulkCopy,Channel,1,2,500,5,8000,2000,Uniform,10000,0.883859,11314.017,11314.017,224.620,411.738,430.818,228.014,412.971,431.129,0,True
"refine-bulkcopy-channel","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:43.2962019+00:00",Queue,BulkCopy,Channel,1,2,500,5,4000,1000,Uniform,10000,0.801425,12477.780,12477.780,101.585,253.463,275.127,102.737,254.451,275.322,0,True
"refine-multirowvalues-batch-50","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:54.0420170+00:00",Queue,MultiRowValues,Channel,1,2,50,5,2000,200,Uniform,10000,1.799411,5557.376,5557.376,56.747,92.562,242.092,56.825,92.586,242.353,0,True
