scenario,commit,timestamp,mode,strategy,sql_execution,batcher,workers,writers,batch,delay_ms,capacity,prefetch,sqlbatch_max_commands,sqlbatch_delay_ms,sqlbatch_request_concurrency,dml_execute_calls,sql_commands,rows_per_execute,mean_commands_per_execute,p95_commands_per_execute,max_commands_per_execute,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"sqlbatch-command-cap-tablevaluedparameter-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:03:26.8693523+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,8,500,5,4000,2000,4,1,1,11,44,1818.182,4.000,4,4,Uniform,20000,1.695334,11797.084,11797.084,479.877,725.127,731.468,497.469,731.795,737.326,0,True
"sqlbatch-control-individual-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:56:21.7655251+00:00",Queue,Individual,Native,None,1,1,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,Uniform,2000,15.080726,132.620,132.620,6.504,12.348,14.122,6.527,12.374,14.146,0,True
"sqlbatch-control-individual-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:57:06.7175225+00:00",Queue,Individual,SqlBatch,None,1,1,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,Uniform,2000,18.241960,109.637,109.637,6.253,10.193,163.571,6.265,10.226,163.615,0,True
"sqlbatch-control-multipleinsertstatements-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:55:26.7149733+00:00",Queue,MultipleInsertStatements,Native,Channel,1,1,50,5,2000,400,1,1,1,400,400,50.000,1.000,1,1,Uniform,20000,5.832021,3429.343,3429.343,105.423,172.554,244.037,105.515,173.616,244.097,0,True
"sqlbatch-control-multipleinsertstatements-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:55:13.2579774+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,1,50,5,2000,400,1,1,1,400,400,50.000,1.000,1,1,Uniform,20000,5.679788,3521.258,3521.258,103.541,159.199,211.888,103.618,159.252,211.918,0,True
"sqlbatch-control-multirowvalues-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:55:41.6656220+00:00",Queue,MultiRowValues,Native,Channel,1,1,100,5,2000,800,1,1,1,200,200,100.000,1.000,1,1,Uniform,20000,5.024444,3980.540,3980.540,190.361,224.560,381.176,190.410,224.667,381.255,0,True
"sqlbatch-control-multirowvalues-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:55:56.7208235+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,1,100,5,2000,800,1,1,1,200,200,100.000,1.000,1,1,Uniform,20000,4.338179,4610.229,4610.229,169.881,215.431,293.695,169.951,215.610,293.729,0,True
"sqlbatch-control-noop-individual","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:55:01.0025322+00:00",NoOpQueue,BulkCopy,Native,None,1,4,1,5,1000,250,1,1,1,0,0,0,0.000,0,0,Uniform,200000,4.831537,0.000,41394.691,0.000,0.001,0.002,0.004,0.014,0.982,0,True
"sqlbatch-control-noop-multi-row-values","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:54:03.1600946+00:00",NoOpQueue,BulkCopy,Native,Channel,1,8,100,5,2000,800,1,1,1,0,0,0,0.000,0,0,Uniform,200000,5.369324,0.000,37248.640,2.233,4.126,4.791,2.411,4.473,5.712,0,True
"sqlbatch-control-noop-multi-row-values-w4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:54:49.5196143+00:00",NoOpQueue,BulkCopy,Native,Channel,1,4,100,5,2000,800,1,1,1,0,0,0,0.000,0,0,Uniform,200000,6.289639,0.000,31798.327,2.179,4.134,4.825,2.345,4.387,6.560,0,True
"sqlbatch-control-noop-multiple-statements","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:54:36.6566438+00:00",NoOpQueue,BulkCopy,Native,Channel,1,8,50,5,2000,400,1,1,1,0,0,0,0.000,0,0,Uniform,200000,6.667421,0.000,29996.604,2.270,4.246,5.315,2.370,4.431,7.048,0,True
"sqlbatch-control-noop-multiple-statements-w4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:53:52.9694888+00:00",NoOpQueue,BulkCopy,Native,Channel,1,4,50,5,2000,400,1,1,1,0,0,0,0.000,0,0,Uniform,200000,5.036668,0.000,39708.792,1.655,3.896,4.412,1.694,3.996,4.853,0,True
"sqlbatch-control-noop-tvp","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:54:15.5698925+00:00",NoOpQueue,BulkCopy,Native,Channel,1,4,500,5,4000,2000,1,1,1,0,0,0,0.000,0,0,Uniform,200000,5.945063,0.000,33641.361,2.277,4.284,5.745,2.626,4.833,18.905,0,True
"sqlbatch-control-tablevaluedparameter-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:57:10.3591506+00:00",Queue,TableValuedParameter,Native,Channel,1,1,500,5,4000,2000,1,1,1,41,41,487.805,1.000,1,1,Uniform,20000,2.104600,9502.992,9502.992,169.779,245.805,287.705,171.248,247.895,297.480,0,True
"sqlbatch-control-tablevaluedparameter-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:57:13.8849603+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,1,500,5,4000,2000,1,1,1,41,41,487.805,1.000,1,1,Uniform,20000,1.955240,10228.921,10228.921,154.499,285.182,330.762,156.163,288.048,331.224,0,True
